procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0  37656 4496984  61928 4522612   12  274  1538  4372 2901    2  2  2 97  0  0  0
 3  0  37656 4491676  61932 4522836    0    0     0    32 2877 4276  0  1 99  0  0  0
 1  0  37656 4491296  61936 4522836    0    0     0     2 2424 3073  1  1 98  0  0  0
 0  0  37656 4493136  61936 4522840    0    0     0    76 2031 2896  0  1 99  0  0  0
 0  0  37656 4492084  61944 4522860    0    0     0    42 3910 5523  1  2 97  0  0  0
 0  0  37656 4499636  61944 4522864    0    0     0     0  699  796  0  0 100  0  0  0
 0  0  37656 4492784  61944 4523012    0    0    64   122 2749 4087  1  1 99  0  0  0
 0  0  37656 4497024  61952 4523008    0    0     0    32 1765 2044  0  1 99  0  0  0
 0  0  37656 4490100  61952 4523012    0    0     0     0 2734 4116  1  1 99  0  0  0
 1  0  37656 4486936  61960 4523012    0    0     0    40 3130 4599  1  1 98  0  0  0
 0  0  37656 4492832  61960 4523012    0    0     0     2 1475 1622  1  1 99  0  0  0
 0  0  37656 4488780  61960 4523192    0    0    82     0 2676 3922  1  1 99  0  0  0
